             t                       X                      Y       
 0.00000000E+00 0.80000000E+03 0.20000000E+03
 0.10000000E-01 0.80480000E+03 0.20120000E+03
 0.20000000E-01 0.80960948E+03 0.20242652E+03
 0.30000000E-01 0.81442785E+03 0.20367998E+03
 0.40000000E-01 0.81925448E+03 0.20496083E+03
 0.50000000E-01 0.82408872E+03 0.20626953E+03
 0.60000000E-01 0.82892992E+03 0.20760652E+03
 0.70000000E-01 0.83377739E+03 0.20897228E+03
 0.80000000E-01 0.83863044E+03 0.21036728E+03
 0.90000000E-01 0.84348834E+03 0.21179202E+03
 0.10000000E+00 0.84835034E+03 0.21324698E+03
 0.11000000E+00 0.85321568E+03 0.21473267E+03
 0.12000000E+00 0.85808357E+03 0.21624961E+03
 0.13000000E+00 0.86295320E+03 0.21779832E+03
 0.14000000E+00 0.86782374E+03 0.21937933E+03
 0.15000000E+00 0.87269432E+03 0.22099319E+03
 0.16000000E+00 0.87756408E+03 0.22264045E+03
 0.17000000E+00 0.88243209E+03 0.22432167E+03
 0.18000000E+00 0.88729744E+03 0.22603743E+03
 0.19000000E+00 0.89215917E+03 0.22778830E+03
 0.20000000E+00 0.89701629E+03 0.22957488E+03
 0.21000000E+00 0.90186780E+03 0.23139778E+03
 0.22000000E+00 0.90671268E+03 0.23325761E+03
 0.23000000E+00 0.91154985E+03 0.23515499E+03
 0.24000000E+00 0.91637824E+03 0.23709055E+03
 0.25000000E+00 0.92119673E+03 0.23906493E+03
 0.26000000E+00 0.92600418E+03 0.24107880E+03
 0.27000000E+00 0.93079942E+03 0.24313281E+03
 0.28000000E+00 0.93558126E+03 0.24522764E+03
 0.29000000E+00 0.94034846E+03 0.24736397E+03
 0.30000000E+00 0.94509978E+03 0.24954250E+03
 0.31000000E+00 0.94983393E+03 0.25176393E+03
 0.32000000E+00 0.95454959E+03 0.25402897E+03
 0.33000000E+00 0.95924542E+03 0.25633834E+03
 0.34000000E+00 0.96392005E+03 0.25869279E+03
 0.35000000E+00 0.96857206E+03 0.26109304E+03
 0.36000000E+00 0.97320004E+03 0.26353986E+03
 0.37000000E+00 0.97780250E+03 0.26603400E+03
 0.38000000E+00 0.98237795E+03 0.26857623E+03
 0.39000000E+00 0.98692486E+03 0.27116734E+03
 0.40000000E+00 0.99144167E+03 0.27380810E+03
 0.41000000E+00 0.99592679E+03 0.27649932E+03
 0.42000000E+00 0.10003786E+04 0.27924178E+03
 0.43000000E+00 0.10047954E+04 0.28203632E+03
 0.44000000E+00 0.10091756E+04 0.28488373E+03
 0.45000000E+00 0.10135174E+04 0.28778485E+03
 0.46000000E+00 0.10178191E+04 0.29074050E+03
 0.47000000E+00 0.10220789E+04 0.29375152E+03
 0.48000000E+00 0.10262949E+04 0.29681875E+03
 0.49000000E+00 0.10304654E+04 0.29994303E+03
 0.50000000E+00 0.10345884E+04 0.30312522E+03
 0.51000000E+00 0.10386621E+04 0.30636616E+03
 0.52000000E+00 0.10426845E+04 0.30966672E+03
 0.53000000E+00 0.10466537E+04 0.31302775E+03
 0.54000000E+00 0.10505676E+04 0.31645010E+03
 0.55000000E+00 0.10544242E+04 0.31993464E+03
 0.56000000E+00 0.10582215E+04 0.32348223E+03
 0.57000000E+00 0.10619574E+04 0.32709373E+03
 0.58000000E+00 0.10656298E+04 0.33076998E+03
 0.59000000E+00 0.10692365E+04 0.33451185E+03
 0.60000000E+00 0.10727754E+04 0.33832018E+03
 0.61000000E+00 0.10762444E+04 0.34219581E+03
 0.62000000E+00 0.10796411E+04 0.34613958E+03
 0.63000000E+00 0.10829633E+04 0.35015231E+03
 0.64000000E+00 0.10862089E+04 0.35423483E+03
 0.65000000E+00 0.10893756E+04 0.35838794E+03
 0.66000000E+00 0.10924609E+04 0.36261244E+03
 0.67000000E+00 0.10954628E+04 0.36690912E+03
 0.68000000E+00 0.10983787E+04 0.37127873E+03
 0.69000000E+00 0.11012064E+04 0.37572204E+03
 0.70000000E+00 0.11039435E+04 0.38023977E+03
 0.71000000E+00 0.11065877E+04 0.38483263E+03
 0.72000000E+00 0.11091365E+04 0.38950133E+03
 0.73000000E+00 0.11115877E+04 0.39424652E+03
 0.74000000E+00 0.11139388E+04 0.39906884E+03
 0.75000000E+00 0.11161874E+04 0.40396892E+03
 0.76000000E+00 0.11183312E+04 0.40894733E+03
 0.77000000E+00 0.11203677E+04 0.41400463E+03
 0.78000000E+00 0.11222946E+04 0.41914133E+03
 0.79000000E+00 0.11241096E+04 0.42435792E+03
 0.80000000E+00 0.11258102E+04 0.42965484E+03
 0.81000000E+00 0.11273941E+04 0.43503248E+03
 0.82000000E+00 0.11288590E+04 0.44049122E+03
 0.83000000E+00 0.11302025E+04 0.44603136E+03
 0.84000000E+00 0.11314224E+04 0.45165316E+03
 0.85000000E+00 0.11325164E+04 0.45735684E+03
 0.86000000E+00 0.11334823E+04 0.46314255E+03
 0.87000000E+00 0.11343178E+04 0.46901040E+03
 0.88000000E+00 0.11350209E+04 0.47496044E+03
 0.89000000E+00 0.11355893E+04 0.48099263E+03
 0.90000000E+00 0.11360210E+04 0.48710691E+03
 0.91000000E+00 0.11363139E+04 0.49330311E+03
 0.92000000E+00 0.11364661E+04 0.49958102E+03
 0.93000000E+00 0.11364756E+04 0.50594035E+03
 0.94000000E+00 0.11363406E+04 0.51238073E+03
 0.95000000E+00 0.11360592E+04 0.51890170E+03
 0.96000000E+00 0.11356298E+04 0.52550274E+03
 0.97000000E+00 0.11350505E+04 0.53218325E+03
 0.98000000E+00 0.11343199E+04 0.53894251E+03
 0.99000000E+00 0.11334365E+04 0.54577975E+03
 0.10000000E+01 0.11323987E+04 0.55269409E+03
 0.10100000E+01 0.11312053E+04 0.55968455E+03
 0.10200000E+01 0.11298550E+04 0.56675007E+03
 0.10300000E+01 0.11283466E+04 0.57388947E+03
 0.10400000E+01 0.11266792E+04 0.58110150E+03
 0.10500000E+01 0.11248517E+04 0.58838479E+03
 0.10600000E+01 0.11228633E+04 0.59573785E+03
 0.10700000E+01 0.11207133E+04 0.60315912E+03
 0.10800000E+01 0.11184010E+04 0.61064689E+03
 0.10900000E+01 0.11159261E+04 0.61819939E+03
 0.11000000E+01 0.11132880E+04 0.62581469E+03
 0.11100000E+01 0.11104867E+04 0.63349078E+03
 0.11200000E+01 0.11075219E+04 0.64122554E+03
 0.11300000E+01 0.11043937E+04 0.64901671E+03
 0.11400000E+01 0.11011022E+04 0.65686194E+03
 0.11500000E+01 0.10976478E+04 0.66475876E+03
 0.11600000E+01 0.10940309E+04 0.67270460E+03
 0.11700000E+01 0.10902520E+04 0.68069674E+03
 0.11800000E+01 0.10863119E+04 0.68873239E+03
 0.11900000E+01 0.10822114E+04 0.69680863E+03
 0.12000000E+01 0.10779517E+04 0.70492243E+03
 0.12100000E+01 0.10735337E+04 0.71307065E+03
 0.12200000E+01 0.10689590E+04 0.72125005E+03
 0.12300000E+01 0.10642288E+04 0.72945729E+03
 0.12400000E+01 0.10593449E+04 0.73768890E+03
 0.12500000E+01 0.10543090E+04 0.74594136E+03
 0.12600000E+01 0.10491231E+04 0.75421100E+03
 0.12700000E+01 0.10437891E+04 0.76249409E+03
 0.12800000E+01 0.10383093E+04 0.77078681E+03
 0.12900000E+01 0.10326861E+04 0.77908524E+03
 0.13000000E+01 0.10269220E+04 0.78738540E+03
 0.13100000E+01 0.10210195E+04 0.79568321E+03
 0.13200000E+01 0.10149815E+04 0.80397454E+03
 0.13300000E+01 0.10088110E+04 0.81225518E+03
 0.13400000E+01 0.10025108E+04 0.82052087E+03
 0.13500000E+01 0.99608433E+03 0.82876728E+03
 0.13600000E+01 0.98953473E+03 0.83699005E+03
 0.13700000E+01 0.98286546E+03 0.84518477E+03
 0.13800000E+01 0.97608006E+03 0.85334698E+03
 0.13900000E+01 0.96918216E+03 0.86147221E+03
 0.14000000E+01 0.96217551E+03 0.86955595E+03
 0.14100000E+01 0.95506396E+03 0.87759370E+03
 0.14200000E+01 0.94785143E+03 0.88558093E+03
 0.14300000E+01 0.94054196E+03 0.89351310E+03
 0.14400000E+01 0.93313965E+03 0.90138570E+03
 0.14500000E+01 0.92564867E+03 0.90919422E+03
 0.14600000E+01 0.91807327E+03 0.91693417E+03
 0.14700000E+01 0.91041775E+03 0.92460108E+03
 0.14800000E+01 0.90268646E+03 0.93219053E+03
 0.14900000E+01 0.89488381E+03 0.93969814E+03
 0.15000000E+01 0.88701424E+03 0.94711958E+03
 0.15100000E+01 0.87908221E+03 0.95445055E+03
 0.15200000E+01 0.87109222E+03 0.96168685E+03
 0.15300000E+01 0.86304878E+03 0.96882434E+03
 0.15400000E+01 0.85495642E+03 0.97585895E+03
 0.15500000E+01 0.84681964E+03 0.98278670E+03
 0.15600000E+01 0.83864298E+03 0.98960370E+03
 0.15700000E+01 0.83043093E+03 0.99630614E+03
 0.15800000E+01 0.82218797E+03 0.10028904E+04
 0.15900000E+01 0.81391856E+03 0.10093527E+04
 0.16000000E+01 0.80562713E+03 0.10156898E+04
 0.16100000E+01 0.79731805E+03 0.10218983E+04
 0.16200000E+01 0.78899567E+03 0.10279749E+04
 0.16300000E+01 0.78066428E+03 0.10339165E+04
 0.16400000E+01 0.77232809E+03 0.10397201E+04
 0.16500000E+01 0.76399126E+03 0.10453830E+04
 0.16600000E+01 0.75565791E+03 0.10509025E+04
 0.16700000E+01 0.74733203E+03 0.10562759E+04
 0.16800000E+01 0.73901758E+03 0.10615009E+04
 0.16900000E+01 0.73071839E+03 0.10665753E+04
 0.17000000E+01 0.72243826E+03 0.10714968E+04
 0.17100000E+01 0.71418083E+03 0.10762637E+04
 0.17200000E+01 0.70594970E+03 0.10808740E+04
 0.17300000E+01 0.69774835E+03 0.10853261E+04
 0.17400000E+01 0.68958014E+03 0.10896185E+04
 0.17500000E+01 0.68144836E+03 0.10937499E+04
 0.17600000E+01 0.67335616E+03 0.10977191E+04
 0.17700000E+01 0.66530660E+03 0.11015250E+04
 0.17800000E+01 0.65730263E+03 0.11051668E+04
 0.17900000E+01 0.64934708E+03 0.11086437E+04
 0.18000000E+01 0.64144266E+03 0.11119552E+04
 0.18100000E+01 0.63359197E+03 0.11151007E+04
 0.18200000E+01 0.62579751E+03 0.11180801E+04
 0.18300000E+01 0.61806165E+03 0.11208931E+04
 0.18400000E+01 0.61038665E+03 0.11235398E+04
 0.18500000E+01 0.60277464E+03 0.11260203E+04
 0.18600000E+01 0.59522766E+03 0.11283348E+04
 0.18700000E+01 0.58774761E+03 0.11304838E+04
 0.18800000E+01 0.58033631E+03 0.11324677E+04
 0.18900000E+01 0.57299543E+03 0.11342873E+04
 0.19000000E+01 0.56572655E+03 0.11359433E+04
 0.19100000E+01 0.55853115E+03 0.11374365E+04
 0.19200000E+01 0.55141059E+03 0.11387680E+04
 0.19300000E+01 0.54436612E+03 0.11399389E+04
 0.19400000E+01 0.53739890E+03 0.11409504E+04
 0.19500000E+01 0.53050998E+03 0.11418038E+04
 0.19600000E+01 0.52370031E+03 0.11425005E+04
 0.19700000E+01 0.51697076E+03 0.11430421E+04
 0.19800000E+01 0.51032208E+03 0.11434301E+04
 0.19900000E+01 0.50375495E+03 0.11436661E+04
 0.20000000E+01 0.49726995E+03 0.11437520E+04
 0.20100000E+01 0.49086758E+03 0.11436895E+04
 0.20200000E+01 0.48454825E+03 0.11434806E+04
 0.20300000E+01 0.47831230E+03 0.11431273E+04
