             t                      X                      Y       
 0.00000000E+00 0.80000000E+03 0.20000000E+03
 0.10000000E-01 0.80480470E+03 0.20121327E+03
 0.20000000E-01 0.80961839E+03 0.20245338E+03
 0.30000000E-01 0.81444046E+03 0.20372075E+03
 0.40000000E-01 0.81927025E+03 0.20501585E+03
 0.50000000E-01 0.82410710E+03 0.20633912E+03
 0.60000000E-01 0.82895034E+03 0.20769104E+03
 0.70000000E-01 0.83379925E+03 0.20907209E+03
 0.80000000E-01 0.83865311E+03 0.21048273E+03
 0.90000000E-01 0.84351118E+03 0.21192348E+03
 0.10000000E+00 0.84837268E+03 0.21339482E+03
 0.11000000E+00 0.85323683E+03 0.21489729E+03
 0.12000000E+00 0.85810281E+03 0.21643139E+03
 0.13000000E+00 0.86296979E+03 0.21799765E+03
 0.14000000E+00 0.86783690E+03 0.21959663E+03
 0.15000000E+00 0.87270327E+03 0.22122887E+03
 0.16000000E+00 0.87756797E+03 0.22289493E+03
 0.17000000E+00 0.88243009E+03 0.22459538E+03
 0.18000000E+00 0.88728866E+03 0.22633080E+03
 0.19000000E+00 0.89214270E+03 0.22810179E+03
 0.20000000E+00 0.89699120E+03 0.22990894E+03
 0.21000000E+00 0.90183313E+03 0.23175287E+03
 0.22000000E+00 0.90666741E+03 0.23363419E+03
 0.23000000E+00 0.91149297E+03 0.23555354E+03
 0.24000000E+00 0.91630868E+03 0.23751155E+03
 0.25000000E+00 0.92111340E+03 0.23950888E+03
 0.26000000E+00 0.92590596E+03 0.24154619E+03
 0.27000000E+00 0.93068515E+03 0.24362415E+03
 0.28000000E+00 0.93544975E+03 0.24574343E+03
 0.29000000E+00 0.94019850E+03 0.24790473E+03
 0.30000000E+00 0.94493010E+03 0.25010876E+03
 0.31000000E+00 0.94964324E+03 0.25235621E+03
 0.32000000E+00 0.95433657E+03 0.25464781E+03
 0.33000000E+00 0.95900872E+03 0.25698429E+03
 0.34000000E+00 0.96365827E+03 0.25936638E+03
 0.35000000E+00 0.96828378E+03 0.26179483E+03
 0.36000000E+00 0.97288378E+03 0.26427040E+03
 0.37000000E+00 0.97745677E+03 0.26679385E+03
 0.38000000E+00 0.98200122E+03 0.26936596E+03
 0.39000000E+00 0.98651556E+03 0.27198750E+03
 0.40000000E+00 0.99099820E+03 0.27465927E+03
 0.41000000E+00 0.99544750E+03 0.27738206E+03
 0.42000000E+00 0.99986182E+03 0.28015667E+03
 0.43000000E+00 0.10042395E+04 0.28298392E+03
 0.44000000E+00 0.10085787E+04 0.28586461E+03
 0.45000000E+00 0.10128778E+04 0.28879958E+03
 0.46000000E+00 0.10171349E+04 0.29178964E+03
 0.47000000E+00 0.10213483E+04 0.29483564E+03
 0.48000000E+00 0.10255160E+04 0.29793840E+03
 0.49000000E+00 0.10296363E+04 0.30109878E+03
 0.50000000E+00 0.10337072E+04 0.30431760E+03
 0.51000000E+00 0.10377268E+04 0.30759572E+03
 0.52000000E+00 0.10416931E+04 0.31093398E+03
 0.53000000E+00 0.10456041E+04 0.31433323E+03
 0.54000000E+00 0.10494578E+04 0.31779432E+03
 0.55000000E+00 0.10532521E+04 0.32131810E+03
 0.56000000E+00 0.10569850E+04 0.32490540E+03
 0.57000000E+00 0.10606543E+04 0.32855707E+03
 0.58000000E+00 0.10642579E+04 0.33227396E+03
